x_pos,y_pos,x_comp,y_comp,amplitude,phase
0.0,0.0,0.91,-12.61666667,1.0,-1.4987941960493958
5.5,0.0,-1.993333333,-8.376666667,0.6807075374075006,-1.8044139763515834
11.0,0.0,-3.733333333,-5.323333333,0.5140126581788806,-2.1824042733032254
-5.5,0.0,0.933333333,-9.23,0.7333975085771612,-1.470019344439355
-11.0,0.0,-2.66,-5.253333333,0.4655057442034004,-2.0395071836921224
0.0,5.5,-0.43,-9.2,0.7280988027988966,-1.6175014671719148
0.0,11.0,1.503333333,-1.176666667,0.1509214350754097,-0.6641059466551559
0.0,-5.5,-0.63,-6.006666667,0.4774609575395733,-1.6752977166578977
0.0,-11.0,1.3,2.51,0.22346254785745692,1.092909173968217
16.5,0.0,0.06,1.85,0.14632841088603418,1.5383752586794674
22.0,0.0,4.38,4.516666667,0.49738444116946096,0.8007585139142609
-16.5,0.0,-1.453333333,-2.953333333,0.26021371358138906,-2.028103441007364
-22.0,0.0,2.3,1.663333333,0.22439162108244837,0.6261197256250398
0.0,16.5,2.243333333,5.18,0.44625718502382383,1.1621052256666229
0.0,22.0,8.713333333,3.833333333,0.7525451715164312,0.41445559251559777
0.0,-16.5,0.906666667,1.216666667,0.11995315951939675,0.930370779436872
0.0,-22.0,3.74,7.976666667,0.6964676378459154,1.1323634133999942
5.5,-22.0,5.33,7.173333333,0.7064941145860941,0.9317711299020607
11.0,-22.0,8.296666667,7.033333333,0.8598555887855691,0.7031747421390468
16.5,-22.0,10.47,6.046666667,0.9558223677721129,0.5237283753970756
22.0,-22.0,12.76666667,1.483333333,1.0160567361606303,0.11566935156584682
-5.5,-22.0,5.243333333,7.636666667,0.7323196418019323,0.9691205560891551
-11.0,-22.0,6.023333333,7.393333333,0.7538947232318921,0.887157268075909
-16.5,-22.0,10.27666667,6.226666667,0.9499134696946886,0.5447488893433373
-22.0,-22.0,15.20333333,1.263333333,1.2060399288128703,0.08290534431678159
5.5,-16.5,3.323333333,-1.496666667,0.28813907221259516,-0.4231458239979802
11.0,-16.5,5.763333333,-0.47,0.45713209515647757,-0.08136996657139617
16.5,-16.5,5.806666667,-0.83,0.463711092080484,-0.141977421067058
22.0,-16.5,8.62,3.55,0.7369801118870594,0.3906653901589077
-5.5,-16.5,3.76,-2.463333333,0.35535680278765414,-0.57998138514388
-11.0,-16.5,4.113333333,-1.6,0.34891341317266716,-0.37096949938266327
-16.5,-16.5,5.373333333,1.963333333,0.4522559791898331,0.3503142122006708
-22.0,-16.5,9.873333333,5.6,0.897343179344307,0.5159407635426779
5.5,-11.0,3.51,-4.36,0.4424933587885868,-0.8929861977799609
11.0,-11.0,2.983333333,-3.95,0.3913238335877894,-0.9239282274118399
16.5,-11.0,3.94,0.46,0.31359185379159765,0.11622509236681754
22.0,-11.0,6.666666667,-5.436666667,0.6800639411346172,-0.684120962447749
-5.5,-11.0,2.596666667,-5.223333333,0.46114061934232153,-1.1094487392175327
-11.0,-11.0,1.583333333,-4.25,0.35854190349597553,-1.2141761909123372
-16.5,-11.0,1.456666667,0.98,0.13879202953721956,0.5922153220696081
-22.0,-11.0,5.016666667,8.533333333,0.782542298569521,1.0393283632918062
5.5,-5.5,0.956666667,-9.133333333,0.7259845612223369,-1.466432364382871
11.0,-5.5,-0.95,-5.813333333,0.46566838875660305,-1.7327819298294533
16.5,-5.5,-0.92,-0.806666667,0.09672876784355183,-2.42173753879694
22.0,-5.5,1.736666667,3.863333333,0.33485459684561625,1.1483371043301607
-5.5,-5.5,4.216666667,-7.373333333,0.6714841059101521,-1.0513094804207839
-11.0,-5.5,0.84,-6.05,0.48286997854690195,-1.4328353481823917
-16.5,-5.5,-1.573333333,-0.85,0.14137075235399402,-2.646262571928064
-22.0,-5.5,0.406666667,5.62,0.44545002100938136,1.4985616094135208
5.5,5.5,0.55,-7.61,0.6031767565764773,-1.4986484476029287
11.0,5.5,0.36,-6.06,0.4799171178909641,-1.5114601210915253
16.5,5.5,2.033333333,-0.063333333,0.16082286197080883,-0.03113747388815493
22.0,5.5,6.303333333,4.153333333,0.5967579354178155,0.5826138008294194
-5.5,5.5,3.06,-7.78,0.660910075823936,-1.1960650964941513
-11.0,5.5,-0.043333333,-6.146666667,0.4859360207145209,-1.5778461014884158
-16.5,5.5,0.513333333,-3.696666667,0.29504370712435624,-1.432814876885343
-22.0,5.5,2.843333333,1.036666667,0.23925330005902373,0.34961790292980677
5.5,11.0,-0.716666667,1.646666667,0.14197168203468494,1.9812937088602598
11.0,11.0,-0.146666667,2.0,0.15853431311016786,1.6439986260485688
16.5,11.0,4.39,5.313333333,0.5448688137465574,0.8802688127265185
22.0,11.0,10.35666667,8.356666667,1.0520371601936727,0.6789266548390481
-5.5,11.0,1.71,-0.053333333,0.13524956545289352,-0.031178976370946736
-11.0,11.0,0.636666667,1.076666667,0.09888356910709868,1.0367752765884202
-16.5,11.0,1.67,4.996666667,0.4164892295255095,1.2482454524611308
-22.0,11.0,6.176666667,8.29,0.8172733448868785,0.9304550707465669
5.5,16.5,-0.18,4.376666667,0.3462893161063924,1.6119003518018946
11.0,16.5,2.966666667,6.506666667,0.5653270331667688,1.1430115160534728
16.5,16.5,7.113333333,8.786666667,0.8937223089891096,0.8902532762093586
22.0,16.5,14.17333333,8.486666667,1.3059780810202786,0.5395197843909848
-5.5,16.5,2.176666667,-3.203333333,0.30617026389365115,-0.9739612958539994
-11.0,16.5,2.323333333,4.75,0.418022979345476,1.115888275431028
-16.5,16.5,4.25,9.11,0.7947063486470503,1.1342893592884689
-22.0,16.5,10.03333333,9.05,1.0681781175582625,0.733915312381569
5.5,22.0,9.553333333,2.323333333,0.7772507410919712,0.23856480483204995
11.0,22.0,11.97,2.373333333,0.9647079031932728,0.19573487671910525
16.5,22.0,14.77,3.44,1.1988913059597688,0.22882523780731642
22.0,22.0,15.97333333,-0.113333333,1.262801603104004,-0.007095039522094347
-5.5,22.0,10.77,-1.446666667,0.8590676690688062,-0.13352451156719852
-11.0,22.0,10.0,-1.533333333,0.7997880661423213,-0.1521483264006072
-16.5,22.0,11.07333333,0.72,0.8772494788905402,0.06492967267475583
-22.0,22.0,14.91666667,-2.036666667,1.1901761640963235,-0.13569723423353255
